,Unnamed: 0,DICE,FN,FP,IoU,TN,TP,n_pred,n_ref,prediction_file,reference_file,challenge_DICE,challenge_FP,challenge_FN,num_pred_conn_comps,num_gt_conn_comps
547,547,,0,0,,48160000,0,0,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9f491f1481_02122006.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9f491f1481_02122006.nii.gz,,0.0,0.0,0,0
548,548,0.0,0,5,0.0,52159995,0,5,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9f6e8b1b43_11162002.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9f6e8b1b43_11162002.nii.gz,0.0,0.0622051048278808,0.0,2,0
549,549,0.670846394984326,103,2,0.5047169811320755,52159788,107,109,210,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9f7c68f5ca_12212001.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9f7c68f5ca_12212001.nii.gz,0.670846394984326,0.0,0.0,1,1
550,550,0.7937864077669903,347,184,0.6580811332904056,49758447,1022,1206,1369,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_9ffd8409b3_07152005.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_9ffd8409b3_07152005.nii.gz,0.7937864077669903,2.251824794769287,1.3933943481445312,11,13
551,551,,0,0,,51040000,0,0,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_a09210d96b_12112005.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_a09210d96b_12112005.nii.gz,,0.0,0.0,0,0
552,552,0.7817268048993349,4980,2273,0.6416679017835087,52139759,12988,15261,17968,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_a0c4dc1ef1_01192003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_a0c4dc1ef1_01192003.nii.gz,0.7817268048993349,27.407569187164302,9.218796535491943,14,12
553,553,,0,0,,47200000,0,0,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_a19c2a0c65_03052006.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_a19c2a0c65_03052006.nii.gz,,0.0,0.0,0,0
554,554,0.5506172011270629,77589,2793,0.3798977064963317,52030373,49245,52038,126834,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_a19ef8e0d2_12261999.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_a19ef8e0d2_12261999.nii.gz,0.5506172011270629,1.5675686416625976,2.251824794769287,10,9
555,555,0.918032786885246,5,60,0.8484848484848485,105759571,364,424,369,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_a1bc00ad60_03062003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_a1bc00ad60_03062003.nii.gz,0.918032786885246,0.1244102096557617,0.0248820419311523,4,5
556,556,0.0,0,282,0.0,104479718,0,282,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_a1bc00ad60_08102006.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_a1bc00ad60_08102006.nii.gz,0.0,3.5083679122924805,0.0,4,0
557,557,0.0,0,1833,0.0,85598167,0,1833,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_a1d93ebc74_09012003.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_a1d93ebc74_09012003.nii.gz,0.0,22.804391429901123,0.0,7,0
558,558,0.9298043728423476,61,61,0.8688172043010752,52159070,808,869,869,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_a1db71e797_03252005.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_a1db71e797_03252005.nii.gz,0.9298043728423476,0.0870871467590332,0.0,4,2
559,559,0.0,0,10,0.0,72159990,0,10,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_a21200dcba_03102005.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_a21200dcba_03102005.nii.gz,0.0,0.1244102096557617,0.0,1,0
560,560,,0,0,,91680000,0,0,0,/well/papiez/users/hri611/python/nnUNet_results/Dataset219_PETCT/nnUNetTrainer_1500epochs_NoMirroring__nnUNetPlans__3d_fullres/crossval_results_folds_0_1_2_3_4/PETCT_a22ec7f62b_06302007.nii.gz,/well/papiez/users/hri611/python/nnUnet_raw/Dataset219_PETCT/labelsTr/PETCT_a22ec7f62b_06302007.nii.gz,,0.0,0.0,0,0
