,image,DICE,challenge_FP,challenge_FN
312,PETCT_f5c9b0de6c_04022004.nii.gz,0.7935174730812656,3.064,1.045
313,PETCT_1fc35d02da_08092003.nii.gz,0.8057445200302343,0.0,0.0
314,PETCT_fc0389a486_05302005.nii.gz,0.0,0.08,0.0
315,PETCT_c1c9e78e0e_05142007.nii.gz,,0.0,0.0
316,PETCT_48cb8662f7_03072003.nii.gz,0.821393105405022,0.013000000000000001,0.247
317,PETCT_42e9f16c09_01052003.nii.gz,0.7501684509994759,0.07,1.211
318,PETCT_15f4b7254f_07182003.nii.gz,0.945105769959815,0.0,0.23900000000000002
319,PETCT_6543c58e13_02252001.nii.gz,0.402493321460374,0.0,0.184
320,PETCT_35c9c85a96_04082005.nii.gz,0.8660997588526462,0.0,0.08700000000000001
321,PETCT_2a6f4f0753_07312003.nii.gz,0.9565217391304348,0.0,0.0
322,PETCT_a4cd2b10de_10152005.nii.gz,0.0,0.021,0.0
323,PETCT_ccb9c375b2_10012005.nii.gz,0.0,0.13,0.0
324,PETCT_f47e31ceb5_07262003.nii.gz,0.7824561403508772,0.098,0.068
325,PETCT_3b1c9155f5_01312003.nii.gz,0.6515845865874911,0.176,6.147
326,PETCT_5f569fb737_09122002.nii.gz,0.7167662966125818,1.438,0.0
327,PETCT_a61d8768d0_03262004.nii.gz,0.9503829787234043,0.027,0.054
328,PETCT_d40a16781a_09132003.nii.gz,0.33488526770867977,1.091,0.024
329,PETCT_f8314eb3f7_09202003.nii.gz,0.0,5.243,0.0
330,PETCT_b3d4773f85_11042000.nii.gz,0.46412566002573546,0.0,1.41
331,PETCT_7fbb39290e_08152002.nii.gz,0.6664744883251658,1.089,0.543
332,PETCT_b57e1c1f5f_06252006.nii.gz,,0.0,0.0
333,PETCT_2122b88719_09092006.nii.gz,0.0,0.5760000000000001,0.0
334,PETCT_9f6e8b1b43_11162002.nii.gz,,0.0,0.0
335,PETCT_05808cf24e_07291999.nii.gz,0.13414858403824936,1.204,10.031
336,PETCT_ca16242e89_09182003.nii.gz,,0.0,0.0
337,PETCT_71ac560ffe_03192007.nii.gz,,0.0,0.0
338,PETCT_d1f456d229_09012006.nii.gz,,0.0,0.0
339,PETCT_63464433c8_01042003.nii.gz,,0.0,0.0
340,PETCT_f01e83894d_03242005.nii.gz,0.7217441193344808,0.031,0.152
341,PETCT_4c9e7be363_09172000.nii.gz,0.8798404158858731,0.17,0.036000000000000004
342,PETCT_416d3b9b78_08142006.nii.gz,,0.0,0.0
343,PETCT_5cf118ac06_02282004.nii.gz,0.8225300436031054,1.483,0.537
344,PETCT_4cb875dc0b_01132005.nii.gz,0.0,0.14,0.054
345,PETCT_65346b03b8_03142004.nii.gz,0.5208681135225376,0.0,0.213
346,PETCT_4f6ff86453_08252006.nii.gz,0.0,0.372,0.0
347,PETCT_47cd731006_01252002.nii.gz,0.3156350836022294,0.10300000000000001,10.624
348,PETCT_25707f94a2_07032003.nii.gz,0.4613532225158032,0.0,13.719
349,PETCT_777fa0ba88_04072003.nii.gz,,0.0,0.0
350,PETCT_dd887591a9_05062006.nii.gz,0.0,0.161,0.0
351,PETCT_c3cc732d95_07212005.nii.gz,0.8312926644273486,0.0,0.027
352,PETCT_791ec15924_04162001.nii.gz,0.8873480493263703,0.038,0.04
353,PETCT_14c4d2c208_09222002.nii.gz,0.7379480840543882,0.0,0.233
354,PETCT_af119148fe_12052002.nii.gz,,0.0,0.0
355,PETCT_89065bc4ab_02202004.nii.gz,0.5457025920873124,0.082,0.0
